,Part,Sentence,token_count,annotation
13,form,"Wenn auch letzten Zeit die Versammlungen Arbeiterinnen Eindruck machte, als ob man es „Socialdemokratie im Unterrocke zu thun habe, wenn auch verschiedene religionsfeindlich Auslassungen einiger Rednerinnen Lohnbewegung absolut thun hatten, so kann doch verkauft werden, daß Streben hiesigen Arbeiterinnen nac Verbesserung ihrer Lage tiefste Berechtigung innewohn; Bieten doch gerade ungenügend bezahlten Arbeiterinne das beste Recrutirungsfeld für hier ungeheuerlich zunehmende Entsittlichung! ",60,mixed
14,form,"Weiber Kinder wurden zu Hilfe gerufen, um Lohn eigenen Männer und Vater drücken; heranwachsende noch ungeborene Generationen vereindeten Kohlengruben; ein entsittlichtes, sieches verkrüppeltes Geschlecht. Product capitalistischen Mißbrauches Arbeiterclasse.",28,negative
15,form,"Vorträge wurden deutscher, ungarischer, böhmischer, italienischer, croatischer, polnischer, englischer, französischer Sprache gehalten.",12,neutral
16,form,"Montenegrinische Grenze gegen Herzegowina eine Linie, welche die europäische Diplomatie gezogen hat, aber der einheimischen Bevölkerung anerkannt wird; das montenegrinische Territorium, abgesehen von geographischen Schwierigkeiten, welche seiner Abschließung entgegenstehen, vermöge nationalen Oesterreich feindseligen Geistes, innerhalb desselben herrscht, natürliche Zufluchtsort geschlagenen, Waffen- Proviant=Depot zurückkehrenden Insurgenten, weder Fürst noch seine Negierung werden diese Verhältnisse wesentlich ändern können, weil sie selbst nationalen Gedanken unterthänig sind, Bevölkerung beherrscht.",64,negative
17,form,"Somanche Dalmatien langersehnte Concessionen wurden bereits ertheilt, wie zahlreiche neue Hasenbauten, die allsogleiche Absenkung einer Commission zur Ausarbeitung von Detailarbeiten für Regulirung Narenta, die Fortsetzung Tracirung Bahn Zara nach Spalato wo möglich bis Ragusa, eine bedeutende Vermehrung Dotation für Schulwesen im Allgemeinen und insbesondere für so nothwendigen Volksschulen.— (Honvedbataillons.“ Man schreibt „Politik"" aus Wien: „Dementi, welches Nachricht von der Errichtung Honvedbataillons entgegengesetzt würde, nur halb wahr.",66,positive
18,form,"Es nämlich nur natürlich, daß nach Ereignissen letzten sechs bis sieben Jahre auf der Balkan=Halbinsel, ja während ganzen Zeit auch Bosnien Herzegowina gespielt haben, eine Menge Elemente entstanden sind, existiren, jahrelang nur nationalen Agitationen Räubereien gelebt haben.",37,negative
19,form,"Es nämlich nur natürlich, daß nach Ereignissen letzten sechs bis sieben Jahre auf der Balkan=Halbinsel, ja während ganzen Zeit auch Bosnien Herzegowina gespielt haben, eine Menge Elemente entstanden sind, existiren, jahrelang nur nationalen Agitationen Räubereien gelebt haben.",37,negative
20,form,"Während daher in sämmtlichen Cadetenschulen deutsche Sprache einen Hauptlehrgegenstand bildet, wird zugleich, als obligater Lehrgegenstand, einer oder mehreren Cadetenschulen Monarchie gelehrt: ungarisch, böhmisch, kroatisch, polnisch, rumänisch, slovenisch, ruthenisch und italienisch",30,neutral
21,form,"Man wollte Boden, auf welchem Antipathien gegen Großrussen gediehen, steril- machen entzog kleinrussischen Sprache Bedingungen für eine normale Entwicklung.",19,negative
22,form,"Diese Erwägung war bei ihr entscheidend. Arbeit Frauen denselben schädlich, ihnen und ihren Kindern, im Organismus wie Gesundheit. kleine Mädchen, eilf Jahren Grubengeschickt wird, sieht Tageslicht nur am Sonntag, wenigstens größten Theil Jahres hindurch.",34,negative
23,form,"Uebel besteht für beide Geschlechter, wenn Kinder jung, d. h. vor Befestigung ihres Knochengebäudes vor Befähigung ihrer Organisation, Arbeit — Arbeitsstätte zugelassen werden.",23,negative
24,form,"Ministerialrath Steinbach hat darauf die wohl- sachlich entsprechende, aber leider sehr triste Antwort gegeben, indem großer Scharfe den Unterschied Stellung zwischen ehemaligen Zunstgesellen heutigen Fabriksarbeiter dargelegt hat.",27,negative
25,form,"Nothwendigkeit, bei arbeitenden Classe das Bewußtsein universellen Solidarität ihrer Interessen und Erkenntniß ihrer Rechte ihrer Kräfte wecken.Ausbreitung Arbeiterorganisation durch Handwerker=Innungen, untereinander einen großen Bund bilden sollen, Systeme Widerstandes, Cooperation, gegenseitigen Unterstützung u. s. w. Ausschluß aller staatlichen Einmischung. Verhältniß zwischen Capitalisten Arbeitern Abschaffung aller Staatsmonopole.",45,positive
26,form,"Beweis dessen Umstand, daß sich deutschen Gottscheer nie über eine Unterdrückung durch den früheren nationalen Landtag beklagen hatten, daß auch slovenischer Seite auf Unterricht deutschen Sprache ein sehr großes Gewicht gelegt wird.",32,neutral
27,form,"Hütten, Zelten, ja unter freiem Himmel campiren, riggs u. Comp. ließen fremde Arbeiter kommen; diese verstanden, Arbeit arbeiteten daher schlecht und wenig, hätten Reibungen",24,negative
28,form,"„Matin“ meldet, daß Liga zur Vertheidigung nationalen Arbeit eine Agitation gegen Verwendung fremder Arbeiter eingeleitet habe. Diese Liga Pariser Abgeordneten Paulin=Mery gegründet unter Devise: „fremden Arbeiterin unseren Werkstätten, fremden Erzeugnisse unseren Geschäften!",32,negative
29,form,"Jedes Gesetz nach ihrem Willen und Ermessen durchgesetzt, sie haben — Zürich und Basel ausgenommen — Culturkampf getrieben, sie haben eine, man möchte glauben, planmäßige Entchristlichung und Entsittlichung arbeitenden Kräfte veranstaltet. Möchten doch jetzt diese Patriarchen eines leichtsinnigen, herabgekommenen Arbeitervölkchens vergessen, daß eine concurrenzfähige Production einer Schaar von entnervten Leuten, Trunkenholden leicht erzielt werden kann!",55,negative
30,form,"Sie erwähnen indeß, daß Folge Conflictes Schüler abgingen, denen keiner wiedergekommen, während normale Abgangszahl bis war, ferner Frage, wie es nun weiter werden nicht werd.",25,negative
31,form,"Vielleicht denkt Herr Pauler Präsidenten Grant, daß eine strenge, rücksichtslose Durchführung eines schlechten Gesetzes nothwendig, um ein besseres vorzubereiten, obwol Bestimmungen bestätigten Schulstatut, wie jene, daß selbst Kinder, welche Privat=Unterricht genießen oder eine nichtserbische Schule besuchen, zur Ablegung einer Prüfung aus der serbischen Sprache Geschichte vor serbischen Lehrkörper verpflichtet seien, schwerlich durch dem Vertheidiger Pauler's citirte Volksschulgesetz oder Gesetz für griechisch=orientalischen Glaubensgenossen rechtfertigen lassen.",64,negative
32,form,"stets mehrende Zahl Schülermacht, Erbauung neuer Schulbäuser zur unabweisbaren Nothwendigkeit: unzureichenden Militär=Unterkünfte gebieten Bauerner Kaserne: Sorge für eine unter allen Umständen ausreichende Wasserbeschaffung nöthigt zur Reconstruction alten Vergleitungen, endlich taub ein seit zwei Fahren nach Entfernung schreiender sanitärer Schandfleck Salzburgs, vielgenannte Gersbach, beseitigt, beziehungsweise regulirt werden, wenn man im Ernste daran denken will, Baugründe am Gisela=Kai verwerthen.",57,negative
33,form,"klagt Linke wegen großer Mitschuld am Culturkampfe an- fragt, wie lange noch diese Professoren=Unduldsamkeit dauern solle.",16,negative
34,form,"Professor Simony verneinte diese Frage auf Grundlage seiner bisherigen Erfahrungen aus entschiedenste, verwahrte jedoch andererseits dagegen, als wolle Folgedessen auch Vorhandensein überirdischer Thatsachen als solcher in Abrede stellen. „Es mag dies“ — fuhr Redner fort — „manchen meiner Fachgenossen befremden, gestehe selbst- unumwunden, daß ich dieser Hinsicht subjectiv von jenen Ideen beherrscht bis, welche bereits vor zehn Jahren als Student in meiner Vehandlung: „Grundzüge einer neuen Molecnlar=Theorie unter Voraussetzung einer einzigen Substanz eines Kraftprincipes angedeutet habe.",76,neutral
35,form,Ueberall wendete Monarchau einzelne Zöglinge directen Ansprachen erkundigte sich bei verschiedenen Lehrern um Fleiß Fortschritte Schüler.,16,neutral
36,form,"September. 3., womit Gesuch genannten Vereines um Bewilligung zur Erichtung einer vierclassigen Privat=Volksschule botanischer Unterrichtssprache im zehnten Bezirke, Wiens abgewiesen, Insoweit derselbe gegen diese Entscheidung im Principe gerichtet, Folge geben auszusprechen, daß Errichtung einer Privat=Volksschule mit böhmischer Unterrichtssprache Wien ein gesetzliches Hindernis nicht im Wege sieht. dieser Entscheidung führt nachstehende Erwägung: Reichs=Volksschulgesetz vom 19.",54,neutral
37,form,"Freiwilligen=Schulen werden erfahrenen Officieren aus Hauptmanns=Charge unterstehen diesen besonders geeignete Officiere als Instructoren beigegeben. Bezüglich Sprachenfrage bittet Minister, die zu- treffenden Verfügungen Vertrauen für diezu treffenden Verfügungen Vertrauen fassen.",29,neutral
38,form,"Punkt, festgestellte Bedingung, daß Lehrplan mindestens den Anforderungen entsprechen muß, welche an eine „öffentliche"" Schule gestellt werden, kann schon nach seiner Fassung Rücksicht auf das Geltungsgebiet dieser gesetzlichen Bestimmung dabin beschränkt werden, daß Privat=Volksschulen nur jene Unterrichtssprachen gebrauchen dürfen, welche an öffentlichen Volksschulen einer bestimmten Stadt, eines bestimmten Bezirkes oder Landes gebraucht werden.",53,neutral
39,form,"Was böhmische Staatsrecht mit den Kosten Centralleitung Unterrichtsministeriums zu schaffen hat, dürfte zwar leicht ergründen sein, aber Herr Smolka hat offenbar für böhmischestaatsrecht Zugehörigkeit Schlesiens zur böhmischen Krone eine kleine Schwäche, darumrichtet seine Mahnung, an Sache zu halten, nur an Abgeordneten Linken, welche thatsächlichen Berichtigungen Erzählungen des Herrn Swiezy als darstellen, was sie Wirklichkeit sind, als Erzeugnisse einer etwas aufgeregten Phantasie. Dasselbe Schicksal erfuhr heute Rede, welcher kürzlich der Abgeordnete Zaczek Lage Czechen Mähren in einer Weise dargestellt hat, als ob ein enragirter Parteimann der Linken, Geißel Germanisirung schwingend, an der Spitze Landesverwaltung Mährens stehen würde. Abgeordnete August Weeber hat heute diesen Rattenschwanz Unrichtigkeiten, Verdrehungen Entstellungen einer kritischen Beleuchtung unterworfen, wir haben gesehen, wie es Germanisirung unter der Statthalterschaft Grafen Schimborn bestellt; haben gesehen, welchen Dimensionen das czechische Schulwesen Mähren wächst, wie der Landesschulrath zusammengesetzt wie selbst zur Inspection deutscher Schulen bereits ein czechischer Schulmann herangezogen wird.",147,negative
40,form,"Begründung Antrages wies Fischer auf stiefmütterliche Behandlung Handelsschulwesens in Oesterreich hin hob ferner hervor, daß man für den allgemeinen Handelsschulen Böhmen, Mähren Schlesien aus Nahrungsmitteln Kreuzer verwende, während fair czechisch für Handelslehranstalten Prag Chrudim je zweitausend Gulden Subvention jährlich bewilligt werden. Pest.",42,negative
41,form,"Wenn im Süden das öffentliche Erziehungswesen noch ganz so ausschließlich und nicht auf allen Stufen Nationalismus ausgeliefert, so erscheint Regierung wahrlich unschuldig daran. Vielmehr hat nur die völlige Unmöglichkeit, bei niedrigen Entwicklungsstände der betreffenden Sprachen eine derartige Auslieferung allen Beziehungen durchzuführen, bisher einer etwas zurückhaltenderen Unterrichts=Politik gezwungen.",47,negative
42,form,Im Süden wie im Norden hat man Unterrichts=Politik auf Kopf gestellt.,11,neutral
43,form,"Eine naturgemäße Abgrenzung derjenigen Besitzantheile, welche am öffentlichen Unterrichtswesen dem Staate",11,neutral
44,form,"Das öffentliche Unterrichtswesen interessirt sie nur, insofernes als Werkzeug taugt, ihre Nationalität emporzubringen; für sie hat kein anderer Gesichtspunkt irgend welche Berechtigung, und so gelangen sie dahin, für ihre Bildungsanstalten geradezu eine Ausnahmsstellung beanspruchen.",34,negative
45,form,"Wenn wir für Centrale stimmen, so stimmen nur aus Grunde dafür, weil Ministerium Möglichkeit zur Fortführung staatlichen Wirtschaft verweigern wollen. Was Verwaltung Unterrichtsministeriums selbst betrifft, haben diesfalls mancherlei ernste Beschwerden, ja, wir haben gewisse Anklagen gegen dieselbe vorzubringen.",38,negative
46,form," Redner kommt nun auf die Autonomie der Länder in Bezug auf das Volksschulwesen zu sprechen und bemerkt: Herr v. Schmerling war in dieser Beziehung viel autonomistischer und viel liberaler, als alle Staatsmänner, die nach ihm das Unterrichtsministerium leiteten, viel autonomistischer, ver- fassungsmäßiger und correcter, als die Reichsräthe, die hier Legis- lation wachten. Das Reichs=Volksschulgesetz ist in ganz incorrecter Weise entstanden und stellt einen Bruck der Verfassung dar (Bravo! Bravo! rechts), und wir und das Ministerium befinden uns bei Abhaltung dieses Gesetzes in einen unausgesetzten, in einem perennirenden Verfassungsbruche (Sehr gut! rechts), denn wenn die Verfassung eine Wahrheit ist, so kann dieses Schulgesetz nicht aufrecht bestehen, es muß abgeändert werden, es muß den Ländern und Völkern die Autonomie in Bezug auf das Schulwesen wieder zurückgegeben werden, denen man es concilierterweise entzogen hat. (Beifall rechts.)",133,positive
47,form," Ich weiß nicht, wie Viele heute noch im Unterrichtsministerium sich vorsinden, die, wenn sie heute ihre Posten verlassen würden oder müßten, alle wahrscheinlich ihren Platz dort (links) aufsuchen würden und die uns, von Haß erfüllt und erregt, Beschwerden zuschicken als Beweis ihrer gerechten Gesinnung für das slavische Element. (So ist es! rechts.) Wenn wir eine solche Bureaukratie haben, dann können wir aller- dings nicht erwarten, daß unsere Anliegen in gerechter, unparteiischer Weise erledigt werden (So ist es! rechts), und wenn dann gar so ein Cherusker dazukommt und in dem böhmischen Schulwesen zu hausen beginnt mit seinem Furor tentonicus — dann Gnade den böhmischen Schulen! ",104,negative
48,form,"Sie hat Krieg begonnen, sondern sie dazugezwungen; man wird ihr nun wol auch Befugniß zuerkennen müssen, ihn so lange fortzuführen, als dies ihrem Vortheil entspricht, einem Augenblicke die Waffen niederzulegen, an serbische Legende erfolgreich anknüpfen könnte.",36,negative
49,form,"Betrübten Herzens schritt Congreß zur zweiten Wahl, aber auch diese erhielt a. h. Sanction, eine dritte Persönlichkeit ernannt, welche es verstanden hat, Vertrauen serbischen Volkes zu vereinigen.",27,positive
50,form,"Dieser Act hat das serbische Volk auf tiefste betrübt, würden gegen die Loyalität sündigen, wenn aufsprächen, daß dadurch unsere Nation tiefinnerst verletzt förmlich niedergeschmettert wurde.",25,negative
51,csv,"Der Staatsminister, sagen die czechischen Organe, sei nun der letzten und einzigen Opposition ledig, Graf Rechberg sei für ihn zum „Opferlamm“ geworden.",22,negative
52,csv,"Anzunehmen, daß die Czechen ein Beispiel nationaler Toleranz geben und einen der neuen oder der früher gewählten deutschen Stadtverordneten zum Stadtrathe erwählen werden — das hieße von ihnen etwas verlangen, das einem Attentate auf die Nationalität gleichkäme, und dergleichen wird doch kein Czeche vom reinsten Wasser, wie sie alle zu sein sichern bilden, den Wählern gegenüber verantworten wollen.",58,negative
53,csv,"Der gellende Hilferuf, dem Polen ausstieß, wurde nicht gehört.",9,negative
54,csv,"Europa blieb nicht laub dafür, weil es ihm an Sympathien für Polen fehlte; aber die Erwägung, daß die Parteinahme für Polen der Krieg mit einer europäischen Coalition war, die entschiedene Weigerung Englands, sich für Polen irgendwie zu engagiren, lähmte Frankreich den Arm.",42,negative
55,csv,"Vor Allem aber gipfelt die Neugierde des politischen Publicums in den Combinationen über den Ausfall der Debatten, welche gegenwärtig u. über die polnischen Angelegenheiten im Schoße des Senats, respective des Reichsraths gepflogen werden.",33,neutral
56,csv,"Dem Cesky=Klub gehören nur Czechen, Lud- polski nur Polen an.",10,neutral
57,csv,"Der Verrath an unseren Stammesgenossen der Landeshauptstadt und in den gemischten Bezirken ist keinem Putschen zuzumuthen; wir Abgeordnete des deutschen Volkes werden und nimmermehr Prag preisgeben, wo unsere besten Männer in ihrer Spitze Einer, den ich Ihnen nicht zu nennen brauche, mit einergennützigkeit und Selbstverleugnung, Opferwilligkeit und Ungedroffenheit unter den widrigsten Verhältnissen die Fahne des kunstigen Volkes hochhalten, immer ihre Pflicht getreu und immer Führ als diese übend: einmüthig haben wir Alle erst vor einigen Tagen diesen unseren Ueberzeugungen solennen Ausdruck gegeben. Aus Hirngespinnst einer neuen Provinz, die etwa mit einem Farben= A die Landkarte Oesterreichs schmücken sollte, kann nur von Jenen ur Wirklichkeit gehalten werden, welche die Nationalitäten=Karte kennen oder nicht kennen wollen.",114,negative
58,csv,"sagen, die deutsche Sprache sprechen als Muttersprache um 8 Millionen, die slavische 13 Millionen, denn diese 13 Millionen Slaven verstehen sich unter einander nicht, und jeder slavische umfaßt, viel weniger Köpfe, als der deutsche, so der böhmisch=mittelslovakische (wohlgemerkt nicht der czechische] o•2, der polnische 7 Millionen, der serbisch=croakische auch außerhalbe.",50,neutral
59,csv,"Meine persönliche Ausfassung besteht nun darin, daß ich, würde der nationale Friede im Lande damit gewährleistet und dauernd herbeizuführen sein, dem Nationalstolz des czechischen Volkes gerne zugestehen würde, daß die Verkehrssprache der Staatsbehörden erster Instanz mit den Parteien in den rein czechischen Gebietstheilen Böhmens auch ausschließlich die czechische sei. Wie die bedauerliche Entwicklung der öffentlichen Zustände das außergewöhnliche Mittel einer provinziellen Zweitheilung auf die Tagesordnung der Volksberathungen gebracht hat, so sucht das deutsche Volk in Böhmen auch neue Kraft in einer andern, in erster Reihe nur parlamentarischen Waffe, in der Abstinenz=Politik. Wenn eine Partei in einem bestimmten Schritte einer parlamentarischen Majorität eine Gesetzwidrigkeit erblickt und dieser selbst die Sanction ihrer Anwesenheit versagt, oder, um die vitalsten Volks-interessen zu vertheidigen, durch ihre Entfernung den einen oder andern Beschluß zu verhindern in ihrem Gewissen sich verantwortlichfühlt, so kann eine solche zeitweilige Inactivität nicht als jene Abstinenz betrachtet werden, welche deutsche Stimmen zu verlangen scheinen.",152,mixed
60,csv,"Eine solche Politik der Abstinenz hat das czechische Volk in Böhmen bis zum Jahre 1879 durchgeführt. Prüfe ich die Voraussetzungen, unter welchen eine solche Politik ergriffen werden kann, so sind ihrer wesentlich drei.",33,neutral
61,csv,"Gelegentlich der Friedenshof=Frage, welche, nebstbei bemerkt, mit einem vollständigen Fiascoder Czechen endete, war in einer Versammlung des Czechisch=katholischen Vereins eine Petition an den Statthalter gerichtet worden, inwelcher dieser gebeten wurde, den interconfessionellen Charakter des communalen Friedhofes um jeden Preis zu hintertreiben.",41,neutral
62,csv,Diese Petition war in deutscher und czechischer Sprache abgefaßt.,9,neutral
63,csv,"Der Statthalter hat diese Petition nur in czechischer Sprache erledigt und den Umstand, daß die Eingabe auch in deutscher Sprache eingebracht worden war, ignorirt. Krakau, d8.",26,negative
65,csv,"Schon während des zweihundertjährigen Sobieski=Jubiläums war es den Polen sehr aufgefallen, daß die czechischen Brüder zu dieser großen National=Feier keine Deputation entsendet hatten.",23,negative
66,csv,"Man sah hierin eine Absicht, die um so deutlicher zu Tage trat, da man sich erinnerte, daß die Czechen zu dem im Jahre 1879 in Krakau gefeierten Jubiläum Kraszeloski's eine Deputation entsendet hatten, und doch hatte dieses Jubiläum beiweitem nicht die Tragweite und Bedeutung der Sobreski=Feier, welche an die glorreiche Herrlichkeit des selbstständigen Polenreiches und an die Hoffnungen auf die Wiederkehr derselben zu erinnern bezweckte.",65,neutral
67,csv,"Freilich stand man damals vor der Eröffnung der ersten Session, inwelcher die Czechen wieder im Reichsrathe erscheinen sollten. Damals lag den Czechen offenbar viel daran, um ihre Zwecke zufördern, die Polen als Verbündete zu gewinnen.",35,neutral
69,csv,Als Entgelt für dieses kühle Verhalten der Czechen der Sobieski=Feier gegenüber haben die Polen gelegentlich der Eröffnung des czechischen National=Theaters sich zurückhaltend gezeigt.,23,negative
70,csv,"Weder seitens des galizischen Landesausschusses, noch seitens des Lemberger Gemeinderathes wurde eine Deputation nach Prag entsendet.",16,neutral
71,csv,"Ein hiesiges Blatt hat ausdrücklich als Ursache des Beschlusses des Lemberger Stadtrathes den Umstand angeführt, daß man dort aus gewissen Gründen den Czechen jetzt nicht hold sei, wohlhold sei.",29,neutral
72,csv,"Krakau hat freilich eine Deputation nach Prag geschickt, aber diese Deputation war ebenvereinzelt und hängt mit persönlichen Beziehungen der Mitglieder des Krakauer Gemeinderathes zusammen.",24,neutral
75,csv,"Auch sollen viele Mitglieder des Polen=Clubs für die Reorganisation des Executiv=Comités, respektive für die Beschränkung seiner bisherigen Machtsphäre eintreten.",19,neutral
76,csv,Die Krakauer Partei soll jedoch gegen die gedachte Beschränkung sein. Pest. B.,12,neutral
78,csv,"Aus der „Gleichberechtigung des czechischen Idioms"" im Memorandum von 1879 ist plötzlich dessen „Herrschaft“ geworden.",15,negative
79,csv,"Sie war es ja, welche die Forderung nach der administrativen Theilung Böhmens hervorrief, weil sie in das geschlossene deutsche Sprachgebiet die czechische Sprache als gleichberechtigte Amtssprache einführte.",27,neutral
80,csv,"Aus dem Munde des Justizministers haben wir vernommen, daß die Sprachenverordnung bestimmt war, das Memorandum der czechischen Abgeordneten, soweit es die Sprachenfrage in der politischen und Justizverwaltung behandelte, zu verwirklichen. Wir haben aber auch den zweiten und tieferliegenden Grund vernommen: die politische Einheit und das Staatsrecht des Königreiches Böhmen.",49,neutral
81,csv,"Man mag über die Nützlichkeit der Erlernung einer zweiten Landessprache dieser oder jener Meinung sein, aber der Regierung mußte es bei Erlassung der Sprachenverordnung bekannt sein, daß man der czechischen Sprache in Deutschböhmen nichtmächtig sei.",35,negative
82,csv,"Auch aus dem Vorhandensein des czechischen Idioms können Sie nicht die Billigkeit der Sprachenverordnung beweisen, denn die Ergebnisse der Volkszählung zeigen, daß in der ganzen Bezirkshauptmannschaft Aschmit fast 80,000 Seelen, in der Bezirkshauptmannschaft Plan mit 37,000 Seelen und in dem Gerichtsbezirke Weseritz sich nicht ein Einziger zur czechischen Umgangssprache bekannt halte (Hört!",52,negative
83,csv,"Ja, mit Ihren Argumenten könnte der Ginn einer Verordnung vertheidigt werden, in welcher für die Gerichtsbezirke Mürzzuschlag und Kufstein nicht nur die Kenntniß der slovenischen, beziehungsweise der italienischen, sondern überdies auch die vollkommene Kenntniß der czechischen Sprache gefordert würde, weil es doch dort unmöglich weniger Czechen gibt als in den vier von mir erwähnten Bezirken.",55,negative
85,csv,"In dem Theater einer czechischen Stadt wird vor gefülltem Hause folgendes lehrreiche Coupletgesungen: „Freche Schwaben in Böhmen haben für das Theater Geld genug, wollen uns Czechen aus dem Lande jagen; aber welche Ueberraschung, der Donner schlug die Deutschen nieder.",39,negative
86,csv,In einem andern czechischen Theater wurde das vom blutigsten Deutschenhaß triefende Stück „Der Thomäka“ gegeben und die Worte „Tod allen Deutschen!“,21,negative
87,csv,"Dr. v. Plener, welcher die geschichtlichen Reminiscenzen Böhmens angerufen, um durch dieselben die dynastische Treue und Loyalität des czechischen Volkes abzuwägen.",21,neutral
88,csv,"Was die Verdächtigungen des böhmischen Volkes in Prag betrifft, so fordere ich den Abg.",14,negative
89,csv,"Plene auf, mit Belegen hervorzutreten, welche für seine Behauptung sprechen, widrigens ich alle diese Anschuldigungen als das betrachten müßte, was sie sind — als eine Provocation und als eine Insulte des böhmischen Volkes und der böhmischen Bevölkerung in Prag.",39,negative
90,csv,"Bis zum Tage der Errichtung des Appellations=Gerichtes in Prag sei der Instanzenzug nicht nach Prag, sondern an die Schöffenstühle irgend einer deutschen Reichsstadt gerichtet gewesen und als im Jahre 1543 der Appellations=Gerichtshof zu Drag gegründet warde sei.",37,neutral
91,csv,"In den Bezirken Rumburg und Schluckenau wohnen 120,000 Deutsche, und diesen will man czechische Beamte vorsetzen?",16,negative
92,csv,"Offegg aufgehört deutsch zu sein, weil einigetausend czechische Arbeiter sich daselbst niedergelassen haben, aus deutsche Hand Arbeit und Brot erhalten?",20,negative
93,csv,"Was Sie mit dieser Verordnung uns bieten, das ist — ich frage jeden Unparteiischen, ich frage jeden Richtdeutschen, um Gotteswillen nur keinen Czechen, — ist nichts Anderes, als der nächste 8.",31,negative
94,csv,"Ja, es ist noch mehr, was hier prakticirt wird, es ist die buchstäbliche Bedeutung des czechischen Memorandums vom December 1879, das sich bekanntlich zu der Forderung in Stellung:",28,neutral
95,csv,Die Handels= und Gewerbekammern werden somit künftig vorerst die sprachliche Qualifikation ihrer Caudidaten zu prüfen haben und in den rein deutschen Bezirken die qualificirten Personen aus dem stächlichen Lande Czechoviens verschreiben müssen.,32,neutral
96,csv,"so sagt man uns, Und das ist ein wohlgemeinter Rath; aber Thatsache ist es, daß 98, bei 99 Percent der Deutschen in Böhmen derzeit die czechische Sprache nicht sprechen.",29,neutral
97,csv,"links), und hätte mancher der Herren Czechen, deren Wiege auf deutschem Boden stand, nicht das Glück gehabt, in seiner Kindheit nach Czechovien zu kommen, er hätte zeitlebens darauf verzichten müssen, ein Führer der Ration zu werden und die nationale Fahne gegen seine eigene Muttersprache ins Feld zu führen.",48,negative
98,csv,Die Erlernung der czechischen Sprache bietet notorisch große Schwierigkeiten und durch Gewaltmittel erleichtern Sie sie unserem Volke nicht.,18,negative
